21-10011,2021-0301,AR,MIL
21-10102,2021-03-01,AR,MIL
21-10203,2021-03-01,AR,MIL
21-10044,2021-11-01,AR,MC
21-15005,2021-03-01,AR,MIL
21-10106,2021-11-01,AR,MC
21-10307,2021-03-01,AR,MIL
21-10038,2021-03-01,AR,MIL
21-10009,2021-03-01,AR,MIL
21-11010,2021-03-01,AR,MIL
21-20301,2021-02-21,NV,MIL
21-20002,2021-02-21,NV,MIL
21-20343,2021-02-21,NV,MIL
21-20104,2021-02-21,NV,MIL
21-20235,2021-12-01,NV,MC
21-21106,2021-02-21,NV,MIL
21-20207,2021-02-21,NV,MIL
21-21008,2021-12-01,NV,MC
21-20459,2021-02-21,NV,MIL
21-20210,2021-02-21,NV,MIL
21-30001,2021-02-24,AF,MIL
21-31102,2021-02-24,AF,MIL
21-33203,2021-02-24,AF,MIL
21-30004,2021-09-01,AF,MC
21-30905,2021-02-24,AF,MIL
21-30806,2021-02-24,AF,MIL
21-30047,2021-0-901,AF,MC
21-30078,2021-02-24,AF,MIL
21-30309,2021-02-24,AF,MIL
21-30010,2021-02-24,AF,MIL
